LOCATION_NAME,DELAY_REASON,count
JUPITER SDG.PRETORIA PORTLAND,CUSTOMER NOT RESPONDING TO WAGON DELAYS NOTIFICATION WITHIN 48 HOURS,45
JUPITER SDG.PRETORIA PORTLAND,NULL,37
KAALFONTEIN SDG.AFGRI OPERATIO,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",9
KAALFONTEIN SITE CAR TRAIN,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1084
KAAPMUIDEN,SPECIAL OR NON-REVENUE EARNING WAGONS,137
KALBASKRAAL,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,22
KARRINGMELK SDG.SENTRAAL SUID KOOPERASIE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,20
KAZCON CX,CONTAINER TERMINAL TRAFFIC,1117
KENHARDT,SPECIAL OR NON-REVENUE EARNING WAGONS,1
KILKENNY SDG.RUSTENBURG PLATIN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,223
KING'S REST BUFFER STACK,CONTAINER TERMINAL TRAFFIC,17
KING'S REST BUFFER STACK,FREE TIME ALLOWED INTERUPPTED BY TFR,17
KING'S REST BUFFER STACK,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1
KING'S REST PIER 1,CONTAINER TERMINAL TRAFFIC,1241
KING'S REST PIER 1,FREE TIME ALLOWED INTERUPPTED BY TFR,123
KING'S REST PIER 1,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",106
KING'S REST PIER 1,SPECIAL OR NON-REVENUE EARNING WAGONS,37
KING'S REST PORTNET CONT.DNR,CONTAINER TERMINAL TRAFFIC,1869
KING'S REST PORTNET CONT.DNR,FREE TIME ALLOWED INTERUPPTED BY TFR,90
KING'S REST PORTNET CONT.DNR,SPECIAL OR NON-REVENUE EARNING WAGONS,2
KING'S REST PORTNET CONT.DNR,TPT RESPONSIBLE,2
KING'S REST SDG.S.A CONTAINER DEPOTS,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",24
KINGSWOOD SDG.SUIDWES LANDBOU,WAGONS DIRTY,1
KLAWER,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,16
KLAWER,STORAGE OF WAGONS,4
KLEINVELD,FREE TIME ALLOWED INTERUPPTED BY TFR,1
KLIPDALE SDG.OVERBERG AGRI BEDRYWE,NULL,15
KLIPRIVIER SDG.EVERITE BUILDIN,NULL,76
KLIPRIVIER SDG.EVERITE BUILDIN,SLOW LOADING/OFFLOADING PROCESS,44
KLIPRIVIER SDG.EVERITE BUILDIN,TRAFFIC REFUSED (WAIT ON INSTRUCTIONS),23
KLIPRIVIER SDG.EVERITE BUILDIN,PLANT BREAKDOWN UNABLE TO OFFLOAD PRODUCT,23
KNAPP SDG.ASSMANG LIMITED,DEDICATED TRUCKS (RING FENCED),46524
KNAPP SDG.ASSMANG LIMITED,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,218
KNAPP SDG.ASSMANG LIMITED,TPT RESPONSIBLE,2
KOEDOESPOORT DEPT.SIDING 8248,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
KOMATIPOORT,SPECIAL OR NON-REVENUE EARNING WAGONS,10
KOMATIPOORT LOCO,STORAGE OF WAGONS,161
KOMATIPOORT REPAIR DEPOT,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,1
KOMATIPOORT SDG.TSB KOMATI MILL,IMPORT/EXPORT TRAFFIC - FOREIGN RAILWAY WAGONS,237
KOMATIPOORT TERREIN,STORAGE OF WAGONS,8
KOMATIPOORT TERREIN,ELECTRONIC DATA INTERFACE PROB,2
KOOPMANSFONTEIN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,12
KREEFBAAI,DEDICATED TRUCKS (RING FENCED),44
KREEFBAAI,SPECIAL OR NON-REVENUE EARNING WAGONS,15
KROONSTAD REPAIR SIDING,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,1
KROONSTAD SDG.SENWES BEPERK 1,SHUNT NOT EXECUTED TFR,6
KRUGERSDORP DEPT.SIDING 8297,FORCE MAJEURE DECLARED BY TFR IN WRITING,6
KRUGERSDORP DEPT.SIDING 8297,SPECIAL OR NON-REVENUE EARNING WAGONS,3
LADYSMITH SDG.TOTAL SOUTH AFRI,SHUNT NOT EXECUTED TFR,13
LAINGSBURG,SHUNT NOT EXECUTED TFR,11
LAINGSBURG,SPECIAL OR NON-REVENUE EARNING WAGONS,2
LEEUHOF SDG.PREMIER FOOD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,78
LEEUHOF SDG.PREMIER FOOD,"WEIGHBRIDGE TEST WAGONS ",2
LEPHALALE SDG.EXXARO COAL PTY,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2395
LEPHALALE SDG.EXXARO COAL PTY,FREE TIME ALLOWED INTERUPPTED BY TFR,1
LICHTENBURG SDG.LAFARGE SOUTH,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,13
LICHTENBURG SDG.LAFARGE SOUTH,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,9
LIDGETTON,SPECIAL OR NON-REVENUE EARNING WAGONS,5
LIME ACRES SDG.PPC CEMENT LIMI,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,25
LOHATLHA DEPT.SIDING S.A FREIG,FREE TIME ALLOWED INTERUPPTED BY TFR,499
LOHATLHA DEPT.SIDING S.A FREIG,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,306
LOHATLHA DEPT.SIDING S.A FREIG,SHUNT NOT EXECUTED TFR,204
LOHATLHA DEPT.SIDING S.A FREIG,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,105
LOHATLHA DEPT.SIDING S.A FREIG,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),104
LOHATLHA DEPT.SIDING S.A FREIG,SLOW LOADING/OFFLOADING PROCESS,104
LOHATLHA DEPT.SIDING S.A FREIG,LOADING PROFILE NOT COMPLIED WITH,103
LOHATLHA DEPT.SIDING S.A FREIG,CONTAINER TERMINAL TRAFFIC,21
LOTHAIR,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,120
LOUIS TRICHARDT,SPECIAL OR NON-REVENUE EARNING WAGONS,22
LOUIS TRICHARDT,STORAGE OF WAGONS,14
LYDENBURG,STORAGE OF WAGONS,1
LYDENBURG LOCO,STORAGE OF WAGONS,5
LYDENBURG SDG.XSTRATA,FREE TIME ALLOWED INTERUPPTED BY TFR,85
MACFARLANE,FREE TIME ALLOWED INTERUPPTED BY TFR,16
MAGUZULA,NULL,3
MALELANE,SPECIAL OR NON-REVENUE EARNING WAGONS,21
MALMESBURY,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,52
MALMESBURY,STORAGE OF WAGONS,28
MALMESBURY SDG.PIONEER FOODS PTY LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,58
MALMESBURY SDG.PIONEER FOODS PTY LTD,ELECTRONIC DATA INTERFACE PROB,13
MALMESBURY SDG.PIONEER FOODS PTY LTD,WRONG TYPE OF WAGON SUPPLIED,10
MALMESBURY SDG.PIONEER FOODS PTY LTD,SHUNT NOT EXECUTED TFR,7
MALMESBURY SDG.PIONEER FOODS PTY LTD,STORAGE OF WAGONS,3
MALONJENI,SPECIAL OR NON-REVENUE EARNING WAGONS,8
MAMATHWANE SDG.SAMANCOR LIMITED 1,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,543
MAMATHWANE SDG.SAMANCOR LIMITED 1,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,407
MAMATHWANE SDG.SAMANCOR LIMITED 1,DEDICATED TRUCKS (RING FENCED),104
MAMATHWANE SDG.SAMANCOR LIMITED 1,FREE TIME ALLOWED INTERUPPTED BY TFR,104
MAMATHWANE SDG.SAMANCOR LIMITED 1,SCHEDULED MAINTENANCE - CUSTOMER.,104
MAMATHWANE SDG.SAMANCOR LIMITED 1,CONTAINER TERMINAL TRAFFIC,4
MAMATHWANE SDG.TSHIPI E NTLE MANGANESE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,162
MAMATHWANE SDG.TSHIPI E NTLE MANGANESE,NULL,115
MAMATHWANE SDG.TSHIPI E NTLE MANGANESE,WAGONS DELAYED EN ROUTE,61
MAMATHWANE SDG.TSHIPI E NTLE MANGANESE,SHUNT NOT EXECUTED TFR,1
MAMATHWANE SDG.UNITED MANGANES,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,257
MAMATHWANE SDG.UNITED MANGANES,RELEASE INFORMATION NOT FURNISHED,125
MAMATHWANE SDG.UNITED MANGANES,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,107
MAMATHWANE SDG.UNITED MANGANES,FREE TIME ALLOWED INTERUPPTED BY TFR,98
MAMATHWANE SDG.UNITED MANGANES,CONTAINER TERMINAL TRAFFIC,8
MAMATHWANE SDG.UNITED MANGANES,TPT RESPONSIBLE,8
MANDINI SDG.SAPPI KRAFT,NULL,107
MANDLAZINI DEPT.SIDING UNATHIS,NULL,3151
MANDLAZINI DEPT.SIDING UNATHIS,TPT RESPONSIBLE,4
MARIKANA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,417
MARIKANA,SHUNT NOT EXECUTED TFR,416
MARIKANA,WAGONS DIRTY,13
MARIKANA,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",10
MASCON,CONTAINER TERMINAL TRAFFIC,255
MASCON,MASERU-LESOTHO TRAFFIC CONTINUE WITH MANUAL PROCESS,1
MASERU,MASERU-LESOTHO TRAFFIC CONTINUE WITH MANUAL PROCESS,158
MASERU,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,149
MASERU,STORAGE OF WAGONS,40
MASERU,SHUNT NOT EXECUTED TFR,22
MASERU,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,10
MASERU,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,8
MASERU,WAGONS DELAYED EN ROUTE,1
MASERU SDG.LESOTHO FLOUR MILLS,MASERU-LESOTHO TRAFFIC CONTINUE WITH MANUAL PROCESS,95
MASERU SDG.LESOTHO FLOUR MILLS,STORAGE OF WAGONS,43
MASERU SDG.LESOTHO FLOUR MILLS,SHUNT NOT EXECUTED TFR,5
MASERU SDG.LESOTHO FLOUR MILLS,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
MAYDON WHARF BERTH 9,TPT RESPONSIBLE,333
MAYDON WHARF BERTH 9,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",148
MAYDON WHARF DEPT.SIDING FREIGHTMAX,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,71
MAYDON WHARF DEPT.SIDING FREIGHTMAX,SHUNT NOT EXECUTED TFR,24
MAYDON WHARF DEPT.SIDING FREIGHTMAX,FREE TIME ALLOWED INTERUPPTED BY TFR,10
MAYDON WHARF SDG.AFRICAN OXYGE,FORCE MAJEURE DECLARED BY TFR IN WRITING,36
MAYDON WHARF SDG.AFRICAN OXYGE,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",8
MAYDON WHARF SDG.AFRICAN OXYGE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
MAYDON WHARF SDG.AFRICAN OXYGE,SHUNT NOT EXECUTED TFR,1
MAYDON WHARF SDG.BIDFREIGHT PORT OPER.,SHUNT NOT EXECUTED TFR,2
MAYDON WHARF SDG.ENSIMBINI TER,FORCE MAJEURE DECLARED BY TFR IN WRITING,14
MAYDON WHARF SDG.GRINROD INTER,SHUNT NOT EXECUTED TFR,151
MAYDON WHARF SDG.GRINROD INTER,ELECTRONIC DATA INTERFACE PROB,100
MAYDON WHARF SDG.GRINROD INTER,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,93
MAYDON WHARF SDG.GRINROD INTER,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",34
MAYDON WHARF SDG.GRINROD INTER,SHUNT NOT EXECUTED,10
MAYDON WHARF SDG.GRINROD INTER,FORCE MAJEURE DECLARED BY TFR IN WRITING,4
MAYDON WHARF SDG.GRINROD TERMI,SHUNT NOT EXECUTED TFR,5
MAYDON WHARF SDG.NCT DURBAN WOOD CHIPS,SHUNT NOT EXECUTED TFR,325
MAYDON WHARF SDG.NCT DURBAN WOOD CHIPS,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,151
MAYDON WHARF SDG.NCT DURBAN WOOD CHIPS,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",32
MAYDON WHARF SDG.NCT DURBAN WOOD CHIPS,TPT RESPONSIBLE,15
MAYDON WHARF SDG.S.A SUGAR TER,STORAGE OF WAGONS,232
MAYDON WHARF SDG.S.A SUGAR TER,SHUNT NOT EXECUTED TFR,229
MAYDON WHARF SDG.S.A SUGAR TER,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,140
MAYDON WHARF SDG.S.A SUGAR TER,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",82
MAYDON WHARF SDG.S.A SUGAR TER,FORCE MAJEURE DECLARED BY TFR IN WRITING,46
MAYDON WHARF SDG.S.A SUGAR TER,SIDING FULL,39
MAYDON WHARF SDG.S.A SUGAR TER,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,2
MAYDON WHARF SDG.SOUTH AFRICAN,SHUNT NOT EXECUTED TFR,220
MAYDON WHARF SDG.SOUTH AFRICAN,FORCE MAJEURE DECLARED BY TFR IN WRITING,155
MAYDON WHARF SDG.SOUTH AFRICAN,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",116
MAYDON WHARF SDG.SOUTH AFRICAN,SLOW LOADING/OFFLOADING PROCESS,83
MAYDON WHARF SDG.SOUTH AFRICAN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,49
MAYDON WHARF SDG.SOUTH AFRICAN,FORCE MAJEURE DECLARED BY CUSTOMER IN WRITING,44
MAYDON WHARF SDG.SOUTH AFRICAN,ELECTRONIC DATA INTERFACE PROB,23
MAYDON WHARF SDG.SOUTH AFRICAN,TPT RESPONSIBLE,16
MAYDON WHARF SDG.SOUTH AFRICAN,"WEIGHBRIDGE TEST WAGONS ",2
MELLISH,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
MEREBANK SDG.ENGEN PETROLEUM,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,349
MEREBANK SDG.ENGEN PETROLEUM,"WEATHER CONDITIONS (STRONG WIND, HEAVY RAIN ETC)",102
MEREBANK SDG.ENGEN PETROLEUM,TPT RESPONSIBLE,96
MEREBANK SDG.ENGEN PETROLEUM,ELECTRONIC DATA INTERFACE PROB,79
MEREBANK SDG.ENGEN PETROLEUM,SCHEDULED MAINTENANCE - CUSTOMER.,20
MEREBANK SDG.ENGEN PETROLEUM,WAGONS DELAYED EN ROUTE,12
MEREBANK SDG.ENGEN PETROLEUM,CONTAINER TERMINAL TRAFFIC,12
MEREBANK SDG.ENGEN PETROLEUM,SHUNT NOT EXECUTED TFR,1
MEREBANK SDG.LANXESS,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,101
MEREBANK SDG.LANXESS,STORAGE OF WAGONS,84
MEREBANK SDG.LANXESS,ELECTRONIC DATA INTERFACE PROB,21
MEREBANK SDG.SHELL & BP PETROL REFIN.,SHUNT NOT EXECUTED TFR,1
MEREBANK SDG.SHELL & BP PETROL REFIN.,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
MEREBANK SDG.SHELL & BP PETROL REFIN.,STORAGE OF WAGONS,1
MEVAMHLOPE,NULL,3
MGANU,NULL,1
MIDDELBURG SDG.SAMANCOR LIMITE,FREE TIME ALLOWED INTERUPPTED BY TFR,2118
MIDDELBURG SDG.SAMANCOR LIMITE,SLOW LOADING/OFFLOADING PROCESS,858
MIDDELBURG SDG.SAMANCOR LIMITE,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,138
MIDDELBURG SDG.SAMANCOR LIMITE,NULL,57
MIDDELBURG SDG.SAMANCOR LIMITE,"WEIGHBRIDGE TEST WAGONS ",2
MKONDO,NULL,15
MODDERRIVIER SDG.GWK BEPERK,FREE TIME ALLOWED INTERUPPTED BY TFR,144
MODDERRIVIER SDG.GWK BEPERK,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,125
MODDERRIVIER SDG.GWK BEPERK,SHUNT NOT EXECUTED TFR,85
MODDERRIVIER SDG.GWK BEPERK,NULL,20
MODDERRIVIER SDG.GWK BEPERK,RELEASE INFORMATION NOT FURNISHED,17
MODDERRIVIER SDG.GWK BEPERK,SILOS FULL,15
MOLLISSIMA,SHUNT NOT EXECUTED TFR,1
MONTCLAIR SDG.MONDI PAPER CO.LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,48
MONTEVIDEO SDG.AFGRI OPERATIONS LTD,SHUNT NOT EXECUTED TFR,7
MOOIRIVIER,SPECIAL OR NON-REVENUE EARNING WAGONS,39
MOUNT VERNON SDG.NPC CIMOR PTY LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2137
MOUNT VERNON SDG.NPC CIMOR PTY LTD,SHUNT NOT EXECUTED TFR,642
MOUNT VERNON SDG.NPC CIMOR PTY LTD,FREE TIME ALLOWED INTERUPPTED BY TFR,422
MOUNT VERNON SDG.NPC CIMOR PTY LTD,DEDICATED TRUCKS (RING FENCED),11
MQWABE,NULL,12
MULDERSVLEI,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,22
NATALSPRUIT,NULL,1
NATALSPRUIT,SPECIAL OR NON-REVENUE EARNING WAGONS,1
NATALSPRUIT SDG.BOTSWANA ASH,DEDICATED TRUCKS (RING FENCED),34
NATALSPRUIT SDG.BOTSWANA ASH,NULL,1
NATALSPRUIT SDG.NZENGA INVESTM,NULL,143
NATALSPRUIT SDG.NZENGA INVESTM,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),76
NATALSPRUIT SDG.NZENGA INVESTM,"WEATHER CONDITIONS (STRONG WIND, HEAVY RAIN ETC)",75
NATALSPRUIT SDG.NZENGA INVESTM,STORAGE OF WAGONS,55
NATALSPRUIT SDG.NZENGA INVESTM,RELEASE INFORMATION NOT FURNISHED,39
NATALSPRUIT SDG.NZENGA INVESTM,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,38
NATALSPRUIT SDG.NZENGA INVESTM,SLOW LOADING/OFFLOADING PROCESS,32
NATALSPRUIT SDG.PUREGAS PTY LTD,DEDICATED TRUCKS (RING FENCED),4
NATALSPRUIT SDG.PUREGAS PTY LTD,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",2
NATALSPRUIT SDG.SHELL S.A MARKETING,NULL,1
NATALSPRUIT SDG.SOUTHERN ASS.M,SLOW LOADING/OFFLOADING PROCESS,148
NATALSPRUIT SDG.SOUTHERN ASS.M,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,135
NATALSPRUIT SDG.SOUTHERN ASS.M,TRAFFIC REFUSED (WAIT ON INSTRUCTIONS),36
NATALSPRUIT SDG.SOUTHERN ASS.M,NULL,26
NATALSPRUIT SDG.SOUTHERN ASS.M,RELEASE INFORMATION NOT FURNISHED,17
NATALSPRUIT SDG.SOUTHERN ASS.M,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,15
NATALSPRUIT SDG.SOUTHERN ASS.M,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),15
NATALSPRUIT SDG.SOUTHERN ASS.M,CUSTOMER NOT RESPONDING TO WAGON DELAYS NOTIFICATION WITHIN 48 HOURS,12
NATALSPRUIT SDG.SOUTHERN ASS.M,CONTAMINATION OF LOAD. WAGON TO BE FUMIGATED,12
NATALSPRUIT SDG.SOUTHERN ASS.M,STORAGE OF WAGONS,10
NELSPRUIT,SHUNT NOT EXECUTED TFR,28
NELSPRUIT,SPECIAL OR NON-REVENUE EARNING WAGONS,9
NELSPRUIT LOCO,STORAGE OF WAGONS,1
NELSPRUIT SDG.MANGANESE METAL COMPANY,SHUNT NOT EXECUTED TFR,95
NELSPRUIT SDG.TOTAL SOUTH AFRICA,SHUNT NOT EXECUTED TFR,1
NEW BRIGHTON SDG.MEADOW FEEDS MILLS CAPE,SHUNT NOT EXECUTED TFR,19
NEW BRIGHTON SDG.P.P CEMENT LI,SHUNT NOT EXECUTED TFR,40
NEWCASTLE SDG.ARCELORMITTAL S.A LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2342
NEWCASTLE SDG.ARCELORMITTAL S.A LTD,SHUNT NOT EXECUTED TFR,601
NEWCASTLE SDG.ARCELORMITTAL S.A LTD,WAGON LABELS NOT ATTACHED OR INCOMPLETE OR COMPLETED INCORRECTLY,49
NEWCASTLE SDG.ARCELORMITTAL S.A LTD,WAIT FOR TARPS / SHORTAGE OF TARPS,49
NEWCASTLE SDG.ARCELORMITTAL S.A LTD,WAGONS DELAYED EN ROUTE,28
NEWCASTLE SDG.ARCELORMITTAL S.A LTD,CONTAINER TERMINAL TRAFFIC,11
NEWCASTLE SDG.NPC CIMCOR PTY LTD,SHUNT NOT EXECUTED TFR,432
NEWCASTLE SDG.NPC CIMCOR PTY LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,391
NEWCASTLE SDG.NPC CIMCOR PTY LTD,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",224
NEWCASTLE YARD,SHUNT NOT EXECUTED TFR,1
NEWCON,SHUNT NOT EXECUTED TFR,98
NEWCON,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,35
NEWCON,CONTAINER TERMINAL TRAFFIC,14
NGAGANE DEPT.SIDING OSHO SA ST,SHUNT NOT EXECUTED TFR,705
NGAGANE DEPT.SIDING OSHO SA ST,Customers with THT agreement,149
NGAGANE DEPT.SIDING OSHO SA ST,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,79
NGAGANE DEPT.SIDING OSHO SA ST,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",4
NGODWANA,SPECIAL OR NON-REVENUE EARNING WAGONS,5
NGODWANA SDG.SAPPI LIMITED,SHUNT NOT EXECUTED TFR,3125
NGQURA PORT TERMINAL,CONTAINER TERMINAL TRAFFIC,101
NIGEL SDG.EASIGAS PTY LTD,DEDICATED TRUCKS (RING FENCED),2
NKWALINI,NULL,5
NORITE SDG.XSTRATA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2002
NORITE SDG.XSTRATA,WAGONS DIRTY,166
NORITE SDG.XSTRATA,FORCE MAJEURE DECLARED BY TFR IN WRITING,61
NORTHAM,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,80
NSELENI,SPECIAL OR NON-REVENUE EARNING WAGONS,13
NUWELAND SDG.THE SOUTH AFRICAN,SHUNT NOT EXECUTED TFR,69
NUWELAND SDG.THE SOUTH AFRICAN,NULL,13
NUWELAND SDG.THE SOUTH AFRICAN,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,13
PAARDENEILAND SDG.FRESH PRODUCE TERMINAL,STORAGE OF WAGONS,34
PAARDENEILAND SDG.FRESH PRODUCE TERMINAL,SHUNT NOT EXECUTED TFR,24
PAARDENEILAND SDG.FRESH PRODUCE TERMINAL,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,3
PAARDENEILAND SDG.FRESH PRODUCE TERMINAL,NULL,1
PAN,NULL,78
PAULPIETERSBURG,NULL,4
PENDORING,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,459
PENDORING,FORCE MAJEURE DECLARED BY TFR IN WRITING,73
PENDORING,WAGONS DIRTY,35
PENDORING,STORAGE OF WAGONS,7
PERDEKOP,SPECIAL OR NON-REVENUE EARNING WAGONS,42
PHALABORWA,WAIT FOR TARPS / SHORTAGE OF TARPS,80
PHALABORWA,CONTAINER TERMINAL TRAFFIC,1
PHALABORWA OPERATIONAL,WAIT FOR TARPS / SHORTAGE OF TARPS,1
PHALABORWA SDG.FARMERS WORLD L,WAIT FOR TARPS / SHORTAGE OF TARPS,132
PHALABORWA SDG.FOSKOR LIMITED,WAIT FOR TARPS / SHORTAGE OF TARPS,1424
PHALABORWA SDG.FOSKOR LIMITED,STORAGE OF WAGONS,128
PHALABORWA SDG.FOSKOR LIMITED,SHUNT NOT EXECUTED TFR,45
PHALABORWA SDG.PHALABORWA MINI,WAIT FOR TARPS / SHORTAGE OF TARPS,1057
PHALABORWA SDG.PHALABORWA MINI,SHUNT NOT EXECUTED TFR,90
PHALABORWA SDG.PHALABORWA MINI,WRONG TYPE OF WAGON SUPPLIED,1
PHALABORWA SDG.PHALABORWA MINI,STORAGE OF WAGONS,1
PIENAARSRIVIER,SPECIAL OR NON-REVENUE EARNING WAGONS,14
PIENAARSRIVIER DEPT.SID VERGEN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,136
PIET RETIEF SDG.JINDAL MINING,NULL,190
POLOKWANE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,12
POLOKWANE DEPT.SIDING 8744,NULL,6
PORT ELIZABETH,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1
POSTMASBURG DEPT.SIDING SEDIBE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,487
PRETORIA-WES SDG.RUTO MILLS 1,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,654
PRETORIA-WES SDG.RUTO MILLS 1,FORCE MAJEURE DECLARED BY TFR IN WRITING,65
PRIESKA SDG.GRIEKWALAND WES KO,DEDICATED TRUCKS (RING FENCED),2
PROTEM SDG.OVERBERG AGRI BEDRY,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,3
PULLENS HOPE,SPECIAL OR NON-REVENUE EARNING WAGONS,6
PULLENS HOPE SDG.WOESTALLEEN C,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",200
QUEENSTOWN SDG. AFRISAM S.A,SHUNT NOT EXECUTED TFR,26
REDHOUSE SDG.SOUTH AFRICAN BREWERIES,SIDING FULL,11
REITZ SDG.VRYSTAAT KOOPERASIE,SHUNT NOT EXECUTED TFR,10
RICHARDS BAY DEPT.SIDING 8582,SPECIAL OR NON-REVENUE EARNING WAGONS,8
RICHARDS BAY HARBOUR BOTTOM DI,TPT RESPONSIBLE,1874
RICHARDS BAY HARBOUR BOTTOM DI,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",10
RICHARDS BAY HARBOUR BULK META,TPT RESPONSIBLE,234
RICHARDS BAY HARBOUR COAL TERMINAL,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",39
RICHARDS BAY HARBOUR COAL TERMINAL,NULL,19
RICHARDS BAY HARBOUR COMBI TER,TPT RESPONSIBLE,14009
RICHARDS BAY HARBOUR COMBI TER,"PPP AGREEMENT ",73
RICHARDS BAY HARBOUR TILTER TE,TPT RESPONSIBLE,12404
RICHARDS BAY HARBOUR TILTER TE,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",50
RICHARDS BAY HARBOUR WAGON LOA,TPT RESPONSIBLE,80
RICHARDS BAY HARBOUR WAGON LOA,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1
RICHARDS BAY SDG ISLAND VIEW BULK STORAG,NULL,266
